Company Name,Company_url,salary,designation_list,location_list,qualification_list
Miles Business India pvt. Ltd.,https://in.indeed.com/cmp/Miles-Business-India-Pvt.-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1ginaf5ovi90i800&fromjk=285a4b1b92e7c0be,"From ₹5,54,326 a year",Python Developer,"Miles Business India pvt. Ltd.Hyderabad, Telangana",NA
Eve World Platform,https://in.indeed.com/cmp/Eve-World-Platform-1?campaignid=mobvjcmp&from=mobviewjob&tk=1ginaf62fjkmk800&fromjk=03a0b1d0b1a2b73d,"₹1,90,000 - ₹2,30,000 a month",Python Machine Learning Engineer,Eve World PlatformRemoteRemote,NA
iNFOX Technologies,https://in.indeed.com/cmp/Infox-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1ginafbmgjl3a800&fromjk=8638501ba7141418,NA,Python developers,iNFOX TechnologiesKerala,NA
Systems Plus Transformations,https://in.indeed.com/cmp/Systems-Plus-Transformations?campaignid=mobvjcmp&from=mobviewjob&tk=1ginafc21icat800&fromjk=5d8975ab71512dad,"₹10,00,000 - ₹15,00,000 a year",Python Full Stack Developer,"Systems Plus TransformationsPune, Maharashtra",NA
Miles Business India pvt. Ltd.,https://in.indeed.com/cmp/Miles-Business-India-Pvt.-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1ginafcfgjklu800&fromjk=285a4b1b92e7c0be,"From ₹5,54,326 a year",Python Developer,"Miles Business India pvt. Ltd.Hyderabad, Telangana",NA
Allied Globetech,https://in.indeed.com/cmp/Allied-Globetech?campaignid=mobvjcmp&from=mobviewjob&tk=1ginafhohjl2r800&fromjk=dd6b1428e27b4fde,NA,Python Developer,"Allied GlobetechNavi Mumbai, Maharashtra",NA
Systems Plus Transformations,https://in.indeed.com/cmp/Systems-Plus-Transformations?campaignid=mobvjcmp&from=mobviewjob&tk=1ginafj2a2fnq000&fromjk=5d8975ab71512dad,"₹10,00,000 - ₹15,00,000 a year",Python Full Stack Developer,"Systems Plus TransformationsPune, Maharashtra",NA
Teramars Technologies,https://in.indeed.com/cmp/Teramars-Technologies-Pvt.-Ltd.-1?campaignid=mobvjcmp&from=mobviewjob&tk=1ginafnrnj6fh800&fromjk=5c0eafb96f303f42,"₹4,00,000 - ₹8,00,000 a year",Python Django API developer,"Teramars TechnologiesGurgaon, HaryanaRemote",total work: 2 years (Required)
Zensar Technologies,https://in.indeed.com/cmp/Zensar-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1ginag0mfg3m4800&fromjk=e7001903bb874f5a,NA,PYTHON,"Zensar TechnologiesPune, Maharashtra",NA
Deven InfoTech Pvt. Ltd.,https://in.indeed.com/cmp/Deven-Infotech?campaignid=mobvjcmp&from=mobviewjob&tk=1ginag6o7i91d801&fromjk=7bfeff914b453bd8,"₹1,80,000 - ₹3,00,000 a year",Python Plotly Developer,"Deven InfoTech Pvt. Ltd.Pune, MaharashtraRemote",Python Plotly: 1 year (Required)
Eve World Platform,https://in.indeed.com/cmp/Eve-World-Platform-1?campaignid=mobvjcmp&from=mobviewjob&tk=1ginagcuhi9bl800&fromjk=03a0b1d0b1a2b73d,"₹1,90,000 - ₹2,30,000 a month",Python Machine Learning Engineer,Eve World PlatformRemoteRemote,NA
Miles Business India pvt. Ltd.,https://in.indeed.com/cmp/Miles-Business-India-Pvt.-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1ginagj3d2fns000&fromjk=285a4b1b92e7c0be,"From ₹5,54,326 a year",Python Developer,"Miles Business India pvt. Ltd.Hyderabad, Telangana",NA
Systems Plus Transformations,https://in.indeed.com/cmp/Systems-Plus-Transformations?campaignid=mobvjcmp&from=mobviewjob&tk=1ginagp0vg829800&fromjk=5d8975ab71512dad,"₹10,00,000 - ₹15,00,000 a year",Python Full Stack Developer,"Systems Plus TransformationsPune, Maharashtra",NA
Transdigital Technology services Pvt Ltd,https://in.indeed.com/cmp/Transdigital-Technology-Services?campaignid=mobvjcmp&from=mobviewjob&tk=1ginal8p02bjs000&fromjk=da25137db2732f68,"₹4,00,000 - ₹5,00,000 a year",Jr Java Developer,"Transdigital Technology services Pvt LtdMumbai, Maharashtra",NA
Java International Ventures Pvt Ltd,https://in.indeed.com/cmp/Java-International-Ventures-Pvt-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1ginaleq0jkat800&fromjk=617b9f6600dbcbf4,"₹2,00,000 - ₹6,00,000 a year",Java Developer/Permanent Remote,"Java International Ventures Pvt LtdMumbai, MaharashtraRemote",NA
Kan Infocom Solution Pvt. Ltd.,https://in.indeed.com/cmp/Kan-Infocom-Solution-Pvt.-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1ginall03i9bl800&fromjk=1960797e2c6a4e1c,"Up to ₹17,00,000 a year",Java Developer,"Kan Infocom Solution Pvt. Ltd.Mumbai, Maharashtra",Bachelor's (Preferred)Java: 3 years (Preferred)Coding: 1 year (Preferred)Multithreading: 1 year (Preferred)Data structures: 1 year (Preferred)Algorithm: 1 year (Preferred)
Capestart Software Pvt Ltd,https://in.indeed.com/cmp/Capestart-Software-Pvt-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1ginalr31g3m2800&fromjk=51db75bdabbad4da,"₹5,00,000 - ₹12,00,000 a year",Java Developer,"Capestart Software Pvt LtdNagercoil, Tamil NaduRemote",total work: 1 year (Preferred)Java: 1 year (Preferred)
IntelloGrit,https://in.indeed.com/cmp/Intellogrit?campaignid=mobvjcmp&from=mobviewjob&tk=1ginam1812eiv000&fromjk=32962bb072269cde,NA,Java Developer – Fresher,IntelloGritRemoteRemote,NA
IV Consultancy Services Private Limited,https://in.indeed.com/cmp/IV-Consultancy-Services-Private-Limited?campaignid=mobvjcmp&from=mobviewjob&tk=1ginam781294a000&fromjk=dae6996334b90171,"₹18,000 - ₹25,000 a month",Full Stack Developer (Java),"IV Consultancy Services Private LimitedMumbai, Maharashtra",Bachelor's (Preferred)Angular: 1 year (Preferred)total work: 1 year (Preferred)Java: 1 year (Preferred)
Larsen & Toubro Infotech Limited,https://in.indeed.com/cmp/L&T-Infotech-(lti)?campaignid=mobvjcmp&from=mobviewjob&tk=1ginamd9ii928801&fromjk=7a384451ddbb274e,NA,Java Microservices,"Larsen & Toubro Infotech LimitedPune, Maharashtra",NA
IBM,https://in.indeed.com/cmp/IBM?campaignid=mobvjcmp&from=mobviewjob&tk=1ginamj9iicbp800&fromjk=c1c947aa87bbe30c,NA,Java Developer,"IBMMumbai, Maharashtra",NA
Synersoft Technologies,https://in.indeed.com/cmp/Synersoft-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1ginamp89i98j800&fromjk=ce5b896bdebf6b42,NA,Software Engineer - Java Platform,Synersoft TechnologiesRemoteRemote,NA
InfoBeans,https://in.indeed.com/cmp/Infobeans?campaignid=mobvjcmp&from=mobviewjob&tk=1ginan1uf2eiv000&fromjk=33e0f5c8255c33a0,"₹10,00,000 - ₹20,00,000 a year",Java Developer,"InfoBeansPune, Maharashtra",Bachelor's (Preferred)total work: 3 years (Preferred)Java: 3 years (Preferred)
IBM,https://in.indeed.com/cmp/IBM?campaignid=mobvjcmp&from=mobviewjob&tk=1ginan7oniekg800&fromjk=aadda6c0e3cd4a73,NA,Software Developer,"IBMPune, Maharashtra",NA
IBM,https://in.indeed.com/cmp/IBM?campaignid=mobvjcmp&from=mobviewjob&tk=1ginandrmjkbb800&fromjk=4d841ca2ee184a82,NA,Application Developer: Java & Web Technologies,"IBMMumbai, Maharashtra",NA
Just hired consultancy,https://in.indeed.com/cmp/Just-Hired-Consultancy?campaignid=mobvjcmp&from=mobviewjob&tk=1ginanjoai92t800&fromjk=8a3baf091b071264,"Up to ₹15,00,000 a year",Java developer,"Just hired consultancyPune, MaharashtraTemporarily remote",Java: 3 years (Required)Software troubleshooting: 3 years (Required)Bachelor's (Preferred)
Opalina Technologies Pvt. Ltd.,https://in.indeed.com/cmp/Geeksforgeeks?campaignid=mobvjcmp&from=mobviewjob&tk=1ginanq10294a001&fromjk=5255cea285813f35,NA,Java Developer Intern,"Opalina Technologies Pvt. Ltd.Noida, Uttar Pradesh",NA
Sureminds Solutions Pvt. Ltd.,https://in.indeed.com/cmp/Smartmovess-Consultant-Zone?campaignid=mobvjcmp&from=mobviewjob&tk=1ginao07vjkat800&fromjk=1866c245b97d1b65,"Up to ₹18,00,000 a year",Java Developer and spring boot,"Sureminds Solutions Pvt. Ltd.Bengaluru, Karnataka",Bachelor's (Preferred)total work: 4 years (Preferred)Java: 1 year (Preferred)JSP: 1 year (Preferred)Java (Preferred)
NeoSOFT,https://in.indeed.com/cmp/Neosoft-Private-Limited?campaignid=mobvjcmp&from=mobviewjob&tk=1ginao6iej6fg800&fromjk=ec8bc0018ffa4d27,"₹6,00,000 - ₹18,00,000 a year",Java Developer,"NeoSOFTMumbai, Maharashtra",Java: 3 years (Required)
Futurism,https://in.indeed.com/cmp/Futurism?campaignid=mobvjcmp&from=mobviewjob&tk=1ginaocf7jk9r800&fromjk=e92cfc0e68b00fd9,NA,Java Trainee Developer - HHS,"FuturismPune, Maharashtra",NA
"JPMorgan Chase Bank, N.A.",https://in.indeed.com/cmp/JPMorgan-Chase-&-Co-7555c073?campaignid=mobvjcmp&from=mobviewjob&tk=1ginapf7d2fnq000&fromjk=cc17f4675a04a319,NA,Software Engineering - Java,"JPMorgan Chase Bank, N.A.Mumbai, Maharashtra",NA
Dimension,https://in.indeed.com/cmp/Dimension-b94a7bb3?campaignid=mobvjcmp&from=mobviewjob&tk=1ginaplbvjl3i800&fromjk=0c52c4a213a8b10a,"₹11,00,000 - ₹15,00,000 a year",Core Java Spring Hibernate,"DimensionPune, Maharashtra",total work: 4 years (Preferred)
THINROOT SOFTWARE PRIVATE LIMITED,https://in.indeed.com/cmp/Thinroot-Software-Private-Limited-1?campaignid=mobvjcmp&from=mobviewjob&tk=1ginaprnjista800&fromjk=b70b3df94eb4322f,"₹3,00,000 - ₹10,00,000 a year",Core Java Developer | Java Springboot | 2 - 5 yrs,"THINROOT SOFTWARE PRIVATE LIMITEDBengaluru, Karnataka",Bachelor's (Preferred)
iNFOX Technologies,https://in.indeed.com/cmp/Infox-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1ginaql9kj9hm800&fromjk=8638501ba7141418,NA,Python developers,iNFOX TechnologiesKerala,NA
Allied Globetech,https://in.indeed.com/cmp/Allied-Globetech?campaignid=mobvjcmp&from=mobviewjob&tk=1ginaqragg3m4802&fromjk=dd6b1428e27b4fde,NA,Python Developer,"Allied GlobetechNavi Mumbai, Maharashtra",NA
Teramars Technologies,https://in.indeed.com/cmp/Teramars-Technologies-Pvt.-Ltd.-1?campaignid=mobvjcmp&from=mobviewjob&tk=1ginar15m2eil002&fromjk=5c0eafb96f303f42,"₹4,00,000 - ₹8,00,000 a year",Python Django API developer,"Teramars TechnologiesGurgaon, HaryanaRemote",total work: 2 years (Required)
Zensar Technologies,https://in.indeed.com/cmp/Zensar-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1ginar7d8i93v800&fromjk=e7001903bb874f5a,NA,PYTHON,"Zensar TechnologiesPune, Maharashtra",NA
Deven InfoTech Pvt. Ltd.,https://in.indeed.com/cmp/Deven-Infotech?campaignid=mobvjcmp&from=mobviewjob&tk=1ginare0mjk9q800&fromjk=7bfeff914b453bd8,"₹1,80,000 - ₹3,00,000 a year",Python Plotly Developer,"Deven InfoTech Pvt. Ltd.Pune, MaharashtraRemote",Python Plotly: 1 year (Required)
Eve World Platform,https://in.indeed.com/cmp/Eve-World-Platform-1?campaignid=mobvjcmp&from=mobviewjob&tk=1ginark56g819800&fromjk=03a0b1d0b1a2b73d,"₹1,90,000 - ₹2,30,000 a month",Python Machine Learning Engineer,Eve World PlatformRemoteRemote,NA
Miles Business India pvt. Ltd.,https://in.indeed.com/cmp/Miles-Business-India-Pvt.-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1ginarq612fns000&fromjk=285a4b1b92e7c0be,"From ₹5,54,326 a year",Python Developer,"Miles Business India pvt. Ltd.Hyderabad, Telangana",NA
Systems Plus Transformations,https://in.indeed.com/cmp/Systems-Plus-Transformations?campaignid=mobvjcmp&from=mobviewjob&tk=1ginas08iiell800&fromjk=5d8975ab71512dad,"₹10,00,000 - ₹15,00,000 a year",Python Full Stack Developer,"Systems Plus TransformationsPune, Maharashtra",NA
